source,target,weight,ch1_weight,ch4_weight,ch5_weight,scene_notes
Kiritsubo_Emperor,Kiritsubo_Consort,4,4,0,0,"Repeated scenes of imperial favor; deathbed farewell"
Kiritsubo_Consort,Kiritsubo_Emperor,4,4,0,0,"Same scenes; farewell waka poem to the emperor"
Kiritsubo_Mother,Kiritsubo_Emperor,2,2,0,0,"Petition for daughter's return; reply waka via Myobu"
Kiritsubo_Emperor,Kiritsubo_Mother,2,2,0,0,"Message and waka via Myobu; gifts"
Kiritsubo_Emperor,Yugei_Myobu,1,1,0,0,"Dispatches her as messenger"
Yugei_Myobu,Kiritsubo_Mother,2,2,0,0,"Visits residence delivers message; parting waka"
Kiritsubo_Mother,Yugei_Myobu,2,2,0,0,"Receives her reply; parting waka"
Yugei_Myobu,Kiritsubo_Emperor,1,1,0,0,"Returns to report"
Kiritsubo_Emperor,Genji,5,4,0,1,"Raises him at court; genpuku ceremony; Ch5 concern about health"
Genji,Kiritsubo_Emperor,3,3,0,0,"Present at court; ceremonial response at genpuku"
Kiritsubo_Mother,Genji,1,1,0,0,"Lived together until her death; spoke of parting"
Genji,Kiritsubo_Mother,1,1,0,0,"Lived with her; wept at her death"
Udaiben,Genji,2,2,0,0,"Takes him to Koro-kan; exchanges kanshi poems"
Genji,Udaiben,2,2,0,0,"Accompanies him; composes return poems"
Korean_Physiognomer,Genji,2,2,0,0,"Reads his face; exchanges poems on parting"
Genji,Korean_Physiognomer,2,2,0,0,"Meets face to face; composes a moving poem"
Udaiben,Korean_Physiognomer,1,1,0,0,"Scholarly exchange of kanshi poetry"
Korean_Physiognomer,Udaiben,1,1,0,0,"Exchange of poems"
Kiritsubo_Emperor,Korean_Physiognomer,1,1,0,0,"Bestows many gifts on the physiognomer"
Naishi_no_Suke,Kiritsubo_Emperor,1,1,0,0,"Recommends Fujitsubo as resembling the late Consort"
Naishi_no_Suke,Genji,1,1,0,0,"Tells young Genji that Fujitsubo resembles his mother"
Hyobukyo,Fujitsubo,1,1,0,0,"Urges his sister to enter the palace"
Kiritsubo_Emperor,Fujitsubo,2,2,0,0,"Welcomes her into the palace; affection grows"
Fujitsubo,Kiritsubo_Emperor,2,2,0,0,"Enters the palace receives favor"
Okura_Kyo_Kurodo,Genji,1,1,0,0,"Performs the hair-cutting role at genpuku"
Minister_Left,Genji,3,2,0,1,"Kakan role at genpuku; welcomes to residence; Ch5 long talk after Kitayama"
Genji,Minister_Left,2,1,0,1,"Present at ceremony; Ch5 visits and chats"
Naishi,Minister_Left,1,1,0,0,"Relays emperor's summons"
Minister_Left,Kiritsubo_Emperor,2,2,0,0,"Attends the emperor at ceremony; reply waka"
Kiritsubo_Emperor,Minister_Left,1,1,0,0,"Addresses him with waka about the marriage"
Yugei_Myobu,Minister_Left,1,1,0,0,"Relays ceremonial gifts from the emperor"
Genji,Aoi,2,1,0,1,"Ch1 marriage; Ch5 cold encounter at Sadaijin residence"
Aoi,Genji,2,1,0,1,"Ch1 marriage; Ch5 standoffish reply"
Kurodo_Shosho,Fourth_Princess_Right,1,1,0,0,"Marriage arranged by Right Minister"
Fourth_Princess_Right,Kurodo_Shosho,1,1,0,0,"Marriage"
Genji,Daini_no_Menoto,1,0,1,0,"Visits her on her sickbed speaks tenderly"
Daini_no_Menoto,Genji,1,0,1,0,"Tearful response expresses gratitude"
Genji,Koremitsu,7,0,4,3,"Ch4 investigation and body transport; Ch5 sends to Shonagon and Murasaki abduction"
Koremitsu,Genji,7,0,4,3,"Ch4 reports and arranges; Ch5 accompanies on key missions"
Yugao,Genji,4,0,4,0,"Sends fan with poem; receives him; reply poems; dies in his arms"
Genji,Yugao,4,0,4,0,"Repeated nighttime visits; final poem; deathbed embrace"
Genji,Rokujo,2,0,2,0,"Recurring visits; morning mist farewell scene"
Rokujo,Genji,2,0,2,0,"Receives him; sends Chujo no Kimi to see him off"
Genji,Ukon,3,0,3,0,"Death scene; takes her to Nijo; long autumn conversation"
Ukon,Genji,3,0,3,0,"Cries with him; tells Yugao's full background"
Koremitsu,Ukon,1,0,1,0,"Cares for her at Nijo helps her settle"
Genji,To_no_Chujo,1,0,1,0,"Receives him during illness makes excuse about defilement"
To_no_Chujo,Genji,1,0,1,0,"Visits suspicious of the story"
Genji,Hijiri,2,0,0,2,"Receives healing prayers; waka exchange on departure"
Hijiri,Genji,2,0,0,2,"Performs kaji; gives protective dokko; reply waka"
Yoshikiyo,Genji,1,0,0,1,"Tells the story of the Akashi lay priest's daughter"
Genji,Yoshikiyo,1,0,0,1,"Asks about the Akashi woman"
Genji,Sozu,2,0,0,2,"Meets him; asks for Murasaki; waka exchange"
Sozu,Genji,2,0,0,2,"Tells the family story; courteous response with gifts"
Genji,Amagimi,3,0,0,3,"Multiple appeals through curtain; hatsukusa poem; final sickbed visit"
Amagimi,Genji,3,0,0,3,"Replies; refusal poem; weak response in final visit"
